4.66, 9.3e-03, 0.1e-03, 258e-03, 1e-03
4.68, 9.3e-03, 0.1e-03, 259e-03, 1e-03
4.7, 9.3e-03, 0.1e-03, 260e-03, 1e-03
4.72, 9.3e-03, 0.1e-03, 261e-03, 1e-03
4.74, 9.3e-03, 0.1e-03, 263e-03, 1e-03
4.76, 9.3e-03, 0.1e-03, 265e-03, 1e-03
4.78, 9.3e-03, 0.1e-03, 266e-03, 1e-03
4.8, 9.3e-03, 0.1e-03, 268e-03, 1e-03
4.82, 9.3e-03, 0.1e-03, 268e-03, 1e-03
4.84, 9.3e-03, 0.1e-03, 270e-03, 1e-03
4.86, 9.3e-03, 0.1e-03, 271e-03, 1e-03
4.88, 9.3e-03, 0.1e-03, 273e-03, 1e-03
4.9, 9.3e-03, 0.1e-03, 274e-03, 1e-03
4.92, 9.3e-03, 0.1e-03, 275e-03, 1e-03
4.94, 9.3e-03, 0.1e-03, 277e-03, 1e-03
4.96, 9.3e-03, 0.1e-03, 281e-03, 1e-03
4.98, 9.3e-03, 0.1e-03, 282e-03, 1e-03
